,客户类型,人数,人数占比,消费金额,金额占比
0,重要挽留客户,7338,0.2886703383162864,1338153.0,0.38109848047947986
1,一般挽留客户,6680,0.26278520849724624,444617.0,0.1266244316571759
2,重要发展用户,5427,0.21349331235247837,981893.0,0.2796376276056908
3,一般发展用户,4224,0.16616837136113297,270869.0,0.07714197428021775
4,重要价值客户,756,0.02974036191974823,269230.0,0.07667519625894076
5,一般价值客户,450,0.01770259638080252,64075.0,0.018248201167372243
6,重要保持客户,360,0.014162077104642014,116665.0,0.033225538653007924
7,一般保持客户,185,0.007277734067663257,25803.0,0.007348549898114803
