code,R,F,M,Àà±ð
316,131,1,117,3
317,46,1,149,4
318,2,1,43,1
319,73,1,45,1
320,36,3,135.3333333,6
321,23,1,143,4
322,179,1,149,3
323,170,1,34,7
324,146,1,144,3
325,101,1,180,3
326,170,1,78,7
327,153,2,125,2
328,106,1,186,3
329,30,1,49,1
330,169,1,122,3
331,125,1,49,7
332,133,1,31,7
333,7,2,216.5,2
334,12,1,71,1
335,6,1,272,4
336,169,1,123,3
337,10,1,176,4
338,5,1,198,4
339,133,1,169,3
340,170,1,239,0
341,133,1,87,7
342,89,1,39,1
343,143,1,73,7
344,91,1,138,3
345,53,1,34,1
346,14,1,31,1
347,71,1,202,4
348,141,1,144,3
349,170,1,117,7
350,178,1,226,0
351,11,1,72,1
352,153,1,63,7
353,155,1,207,0
354,98,1,271,0
355,82,1,193,4
356,14,2,153.5,2
357,62,1,94,1
358,14,1,57,1
359,155,1,82,7
360,163,1,194,0
361,9,1,134,1
362,160,1,220,0
363,133,1,87,7
364,169,1,253,0
365,161,1,216,0
366,34,1,99,1
367,102,1,34,7
368,87,1,148,3
369,162,1,65,7
370,166,1,164,3
371,170,1,79,7
372,14,1,98,1
373,109,1,49,7
374,146,1,162,3
375,170,1,31,7
376,119,1,186,3
377,132,1,89,7
378,133,1,87,7
379,7,1,65,1
380,170,1,136,3
381,114,1,42,7
382,33,1,146,4
383,24,3,99,6
384,7,1,74,1
385,92,1,47,1
386,3,1,38,1
387,82,2,89,2
388,131,1,238,0
389,23,2,100,2
390,155,1,31,7
391,1,1,137,4
392,133,1,110,3
393,132,1,38,7
394,133,1,89,7
395,165,1,63,7
396,21,1,199,4
397,51,1,144,4
398,170,1,63,7
399,33,1,111,1
400,133,1,174,3
401,164,1,87,7
402,1,1,206,4
403,132,1,248,0
404,86,1,144,3
405,154,1,49,7
406,53,1,46,1
407,161,1,40,7
408,93,1,144,3
409,114,1,40,7
410,170,1,51,7
411,39,1,148,4
412,170,1,52,7
413,170,1,34,7
414,152,1,340,0
415,133,1,99,3
416,152,2,72,2
417,33,1,111,1
418,162,1,63,7
419,122,1,139,3
420,108,1,189,3
421,73,1,179,4
422,168,2,53,2
423,164,1,158,3
424,92,1,94,3
425,97,1,143,3
426,73,1,260,4
427,133,1,87,7
428,50,2,127,2
429,53,1,89,1
430,23,1,34,1
431,101,2,99,2
432,7,1,107,1
433,158,1,40,7
434,73,1,89,1
435,166,1,184,0
436,133,1,47,7
437,14,1,264,4
438,37,1,177,4
439,146,1,44,7
440,170,1,84,7
441,6,1,120,1
442,170,1,87,7
443,33,1,50,1
444,12,3,86,6
445,47,1,149,4
446,110,1,144,3
447,133,1,119,3
448,131,2,114,2
449,27,1,198,4
450,24,1,94,1
451,153,1,218,0
452,36,1,34,1
453,128,1,30,7
454,154,1,134,3
455,73,1,89,1
456,105,1,49,7
457,37,1,34,1
458,9,1,261,4
459,151,1,87,7
460,8,1,82,1
461,133,1,87,7
462,133,1,140,3
463,122,1,185,3
464,41,1,258,4
465,144,1,211,0
466,133,1,180,3
467,8,2,176,2
468,54,1,123,1
469,71,1,73,1
470,163,1,121,3
471,133,1,87,7
472,1,1,44,1
473,14,3,137,6
474,146,1,193,0
475,157,1,134,3
476,1,2,259,2
477,131,1,139,3
478,73,1,36,1
479,97,1,138,3
480,23,1,149,4
481,159,1,54,7
482,13,1,72,1
483,102,1,31,7
484,100,3,100.6666667,6
485,14,1,192,4
486,115,1,241,0
487,89,1,212,4
488,170,1,198,0
489,170,1,47,7
490,23,1,182,4
491,167,1,106,7
492,133,1,30,7
493,127,1,152,3
494,153,1,108,7
495,170,1,114,7
496,45,1,267,4
497,133,1,214,0
498,95,1,37,7
499,157,1,151,3
500,133,2,59.5,2
501,2,1,251,4
502,15,1,79,1
503,14,1,157,4
504,151,1,84,7
505,60,1,49,1
506,162,1,39,7
507,2,1,195,4
508,14,1,63,1
509,170,1,145,3
510,36,1,140,4
511,170,1,211,0
512,33,1,32,1
513,12,1,74,1
514,168,1,161,3
515,153,1,32,7
516,31,1,218,4
517,3,1,49,1
518,133,1,265,0
519,91,1,156,3
520,32,1,32,1
521,97,1,191,3
522,173,1,49,7
523,106,1,149,3
524,132,1,243,0
525,150,1,37,7
526,133,1,259,0
527,155,1,207,0
528,170,1,231,0
529,170,1,38,7
530,5,1,30,1
531,8,1,40,1
532,133,1,89,7
533,122,1,149,3
534,169,1,206,0
535,127,1,125,3
536,92,1,94,3
537,128,1,76,7
538,119,1,139,3
539,170,1,82,7
540,50,2,210,2
541,107,1,58,7
542,163,1,124,3
543,168,1,150,3
544,170,1,79,7
545,19,1,94,1
546,153,2,102.5,2
547,12,1,179,4
548,92,1,427,0
549,8,1,116,1
550,168,1,87,7
551,41,1,49,1
552,163,1,64,7
553,10,1,230,4
554,23,1,124,1
555,132,1,89,7
556,73,1,165,4
557,18,1,49,1
558,44,1,161,4
559,164,1,66,7
560,4,1,77,1
561,122,1,94,3
562,157,1,79,7
563,133,1,87,7
564,170,1,84,7
565,6,1,62,1
566,9,1,33,1
567,131,1,206,0
568,19,1,231,4
569,53,1,89,1
570,33,1,34,1
571,132,1,87,7
572,73,2,60,2
573,140,1,220,0
574,71,1,142,4
575,73,1,108,1
576,128,2,135.5,2
577,169,1,118,3
578,151,1,241,0
579,170,1,82,7
580,46,1,49,1
581,133,1,89,7
582,9,2,61,2
583,133,1,89,7
584,73,1,99,1
585,170,1,30,7
586,7,2,91.5,2
587,19,2,146.5,2
588,155,1,67,7
589,24,1,34,1
590,159,1,40,7
591,38,1,152,4
592,152,1,30,7
593,10,1,40,1
594,150,1,151,3
595,73,1,89,1
596,154,1,36,7
597,73,1,99,1
598,1,1,275,4
599,29,2,142.5,2
600,23,1,159,4
601,73,1,33,1
602,153,1,79,7
603,152,1,152,3
604,14,1,82,1
605,24,1,34,1
606,9,1,223,4
607,160,1,178,3
608,131,1,116,3
609,141,1,144,3
610,170,1,190,0
611,169,1,139,3
612,160,1,72,7
613,73,1,87,1
614,71,1,261,4
615,168,1,49,7
616,150,1,37,7
617,14,2,57,2
618,102,1,386,0
619,170,1,133,3
620,170,1,89,7
621,133,1,392,0
622,133,1,87,7
623,62,2,39,2
624,132,1,201,0
625,90,1,43,1
626,66,1,138,4
627,14,1,82,1
628,133,1,87,7
629,148,1,224,0
630,5,2,78,2
631,26,1,144,4
632,20,1,49,1
633,9,1,30,1
634,128,1,133,3
635,28,1,123,1
636,92,1,68,1
637,2,1,40,1
638,116,1,144,3
639,133,1,186,3
640,151,1,64,7
641,11,1,273,4
642,20,1,144,4
643,14,1,136,1
644,37,1,135,1
645,133,1,33,7
646,53,1,89,1
647,72,1,87,1
648,159,1,72,7
649,73,1,33,1
650,156,1,221,0
651,73,1,175,4
652,72,1,126,1
653,3,1,38,1
654,170,1,69,7
655,133,1,89,7
656,170,1,72,7
